"","X","classification_id","user_name","user_id","user_ip","workflow_id","workflow_name","workflow_version","created_at","gold_standard","expert","metadata","annotations","subject_data","subject_ids"
"1",13570,189530722,"Rodne5262",1942046,"489202e586164d617778",12161,"Workflow 1.1",6.5,"2019-11-05 00:36:41 UTC",NA,NA,"{""source"":""api"",""session"":""e83ba7fe97633b329a49b28a4a84f3fe3cae323e1798e35e75ecd72466b07b32"",""viewport"":{""width"":1280,""height"":609},""started_at"":""2019-11-05T00:36:27.967Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2019-11-05T00:36:41.572Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-05T00:34:05.371Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37158271"":{""retired"":null,""Num"":""1593"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""06_09_DON_004224.JPG"",""Image2"":""06_09_DON_004225.JPG"",""Image3"":""06_09_DON_004226.JPG"",""CamModel"":""Bushnell HD"",""#CamNumber"":""6"",""#SDCardNum"":""9"",""!ForestType"":""Deciduous"",""#ForestName"":""DON""}}",37158271
"2",3903,188234204,"keandy16",1716700,"3cd47c31ba6774062298",12161,"Workflow 1.1",6.5,"2019-10-27 21:22:37 UTC",NA,NA,"{""source"":""api"",""session"":""c3c64df442d4e2b24896c01c6c4f27cd20e0ea6d7ea09795ec90a729ac1c1396"",""viewport"":{""width"":1248,""height"":687},""started_at"":""2019-10-27T21:22:31.555Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15"",""utc_offset"":""14400"",""finished_at"":""2019-10-27T21:22:37.881Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":722,""clientHeight"":542,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":722,""clientHeight"":542,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":722,""clientHeight"":542,""naturalWidth"":2000,""naturalHeight"":1500}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-10-27T21:19:58.155Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37157215"":{""retired"":{""id"":51248999,""workflow_id"":12161,""classifications_count"":5,""created_at"":""2019-10-02T20:34:07.074Z"",""updated_at"":""2019-11-11T02:37:09.497Z"",""retired_at"":""2019-11-11T02:37:09.478Z"",""subject_id"":37157215,""retirement_reason"":""classification_count""},""Num"":""646"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""06_09_DON_001372.JPG"",""Image2"":""06_09_DON_001373.JPG"",""Image3"":""06_09_DON_001374.JPG"",""CamModel"":""Bushnell HD"",""#CamNumber"":""6"",""#SDCardNum"":""9"",""!ForestType"":""Deciduous"",""#ForestName"":""DON""}}",37157215
"3",25466,190700724,"Sammiegaul",1937242,"9f6983f1c96e47ee5001",12161,"Workflow 1.1",6.5,"2019-11-12 00:48:43 UTC",NA,NA,"{""source"":""api"",""session"":""41b17780cb8b16d713d32d5ddef4fd04db6724b6c482b4441d5bfffa40ac9eff"",""viewport"":{""width"":2048,""height"":1024},""started_at"":""2019-11-12T00:48:26.824Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2019-11-12T00:48:42.948Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1476,""clientHeight"":820,""naturalWidth"":2000,""naturalHeight"":1111},null,null],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-12T00:47:27.551Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""DEERWHITETAILED"",""answers"":{""HOWMANY"":""1"",""YOUNGPRESENT"":""NO"",""ANTLERSPRESENT"":""NO"",""WHATBEHAVIORSDOYOUSEE"":[""ALERT""],""ESTIMATEOFSNOWDEPTHSEETUTORIAL"":""NOSNOWBAREGROUND"",""ISITACTIVELYRAININGORSNOWINGINTHEPICTURE"":""NO""},""filters"":{}}]}]","{""37162564"":{""retired"":{""id"":51243433,""workflow_id"":12161,""classifications_count"":5,""created_at"":""2019-10-02T17:14:34.152Z"",""updated_at"":""2019-12-05T02:07:05.343Z"",""retired_at"":""2019-12-05T02:07:05.328Z"",""subject_id"":37162564,""retirement_reason"":""classification_count""},""Num"":""7"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""31_41_WHIP_0001.JPG"",""Image2"":""31_41_WHIP_0002.JPG"",""Image3"":""31_41_WHIP_0003.JPG"",""CamModel"":""Browning"",""#CamNumber"":""31"",""#SDCardNum"":""41"",""!ForestType"":""Pine"",""#ForestName"":""WHIP""}}",37162564
"4",23826,190600940,"keandy16",1716700,"3cd47c31ba6774062298",12161,"Workflow 1.1",6.5,"2019-11-11 15:01:02 UTC",NA,NA,"{""source"":""api"",""session"":""58134cbea244f5140dd82cae18b793a0cb348258c1afde5a4ba8fbf5d6cbb03c"",""viewport"":{""width"":1248,""height"":664},""started_at"":""2019-11-11T15:00:51.777Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-11-11T15:01:01.999Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":722,""clientHeight"":401,""naturalWidth"":2000,""naturalHeight"":1111},{""clientWidth"":722,""clientHeight"":401,""naturalWidth"":2000,""naturalHeight"":1111},{""clientWidth"":722,""clientHeight"":401,""naturalWidth"":2000,""naturalHeight"":1111}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-11T15:00:38.149Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37162087"":{""retired"":{""id"":51238805,""workflow_id"":12161,""classifications_count"":5,""created_at"":""2019-10-02T15:30:59.969Z"",""updated_at"":""2020-01-02T00:09:47.179Z"",""retired_at"":""2020-01-02T00:09:47.166Z"",""subject_id"":37162087,""retirement_reason"":""classification_count""},""Num"":""4698"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""21_01_DON_0076.JPG"",""Image2"":""21_01_DON_0077.JPG"",""Image3"":""21_01_DON_0078.JPG"",""CamModel"":""Browning"",""#CamNumber"":""21"",""#SDCardNum"":""1"",""!ForestType"":""Deciduous"",""#ForestName"":""DON""}}",37162087
"5",18971,190331410,"Rodne5262",1942046,"489202e586164d617778",12161,"Workflow 1.1",6.5,"2019-11-09 17:57:27 UTC",NA,NA,"{""source"":""api"",""session"":""356b2d38f2d38ee6ddb10484e47428e8b66f2cd53388935cd55677013e05cea2"",""viewport"":{""width"":1280,""height"":609},""started_at"":""2019-11-09T17:57:14.743Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2019-11-09T17:57:26.871Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-09T17:38:15.027Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37157935"":{""retired"":{""id"":51245504,""workflow_id"":12161,""classifications_count"":5,""created_at"":""2019-10-02T18:15:45.976Z"",""updated_at"":""2019-11-26T22:43:25.995Z"",""retired_at"":""2019-11-26T22:43:25.979Z"",""subject_id"":37157935,""retirement_reason"":""classification_count""},""Num"":""1358"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""06_09_DON_003516.JPG"",""Image2"":""06_09_DON_003517.JPG"",""Image3"":""06_09_DON_003518.JPG"",""CamModel"":""Bushnell HD"",""#CamNumber"":""6"",""#SDCardNum"":""9"",""!ForestType"":""Deciduous"",""#ForestName"":""DON""}}",37157935
"6",4104,188268089,"keandy16",1716700,"3cd47c31ba6774062298",12161,"Workflow 1.1",6.5,"2019-10-28 01:31:47 UTC",NA,NA,"{""source"":""api"",""session"":""c3c64df442d4e2b24896c01c6c4f27cd20e0ea6d7ea09795ec90a729ac1c1396"",""viewport"":{""width"":1248,""height"":687},""started_at"":""2019-10-28T01:31:41.583Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15"",""utc_offset"":""14400"",""finished_at"":""2019-10-28T01:31:47.813Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":722,""clientHeight"":542,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":722,""clientHeight"":542,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":722,""clientHeight"":542,""naturalWidth"":2000,""naturalHeight"":1500}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-10-28T01:30:23.011Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37156993"":{""retired"":null,""Num"":""424"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""06_09_DON_000706.JPG"",""Image2"":""06_09_DON_000707.JPG"",""Image3"":""06_09_DON_000708.JPG"",""CamModel"":""Bushnell HD"",""#CamNumber"":""6"",""#SDCardNum"":""9"",""!ForestType"":""Deciduous"",""#ForestName"":""DON""}}",37156993
"7",41808,201016216,"not-logged-in-326a4c9b092adbe72f16",NA,"326a4c9b092adbe72f16",12161,"Workflow 1.1",6.5,"2020-01-23 14:10:28 UTC",NA,NA,"{""source"":""api"",""session"":""8611170983ba1422d65d4ec49de426c40204bbbe3f6fdaf5880bf2a8b97cf118"",""viewport"":{""width"":1218,""height"":662},""started_at"":""2020-01-23T14:10:22.228Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2020-01-23T14:10:31.339Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":696,""clientHeight"":522,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":696,""clientHeight"":522,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":696,""clientHeight"":522,""naturalWidth"":2000,""naturalHeight"":1500}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-01-23T14:08:50.955Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37157947"":{""retired"":null,""Num"":""1370"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""06_09_DON_003552.JPG"",""Image2"":""06_09_DON_003553.JPG"",""Image3"":""06_09_DON_003554.JPG"",""CamModel"":""Bushnell HD"",""#CamNumber"":""6"",""#SDCardNum"":""9"",""!ForestType"":""Deciduous"",""#ForestName"":""DON""}}",37157947
"8",30011,191450231,"Rodne5262",1942046,"0eb1738bb018a423eacb",12161,"Workflow 1.1",6.5,"2019-11-17 18:30:20 UTC",NA,NA,"{""source"":""api"",""session"":""2dbd4a7f4235e3058ee392d222acd8f66545bcf89b26bb041fb0fbe492dc1533"",""viewport"":{""width"":1280,""height"":609},""started_at"":""2019-11-17T18:29:45.392Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2019-11-17T18:30:18.191Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500},{""clientWidth"":731,""clientHeight"":548,""naturalWidth"":2000,""naturalHeight"":1500}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-11-17T18:25:21.375Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37821272"":{""retired"":null,"""":""2135"",""Num"":""2135"",""Image1"":""14_17_WF_000439.JPG"",""Image2"":""14_17_WF_000440.JPG"",""Image3"":""14_17_WF_000441.JPG""}}",37821272
"9",4198,188339824,"barthelmess",1173819,"b995b11709953a850d00",12161,"Workflow 1.1",6.5,"2019-10-28 15:04:49 UTC",NA,NA,"{""source"":""api"",""session"":""d30d25ee37c3260d7f8ec946d7ad8e2ff10c19065784c30770a20920ed3999f0"",""viewport"":{""width"":1800,""height"":1083},""started_at"":""2019-10-28T15:04:18.560Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2019-10-28T15:04:49.358Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1242,""clientHeight"":690,""naturalWidth"":2000,""naturalHeight"":1111},{""clientWidth"":1242,""clientHeight"":690,""naturalWidth"":2000,""naturalHeight"":1111},{""clientWidth"":1242,""clientHeight"":690,""naturalWidth"":2000,""naturalHeight"":1111}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-10-28T15:03:20.549Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""FISHER"",""answers"":{""HOWMANY"":""1"",""YOUNGPRESENT"":""NO"",""WHATBEHAVIORSDOYOUSEE"":[""WALKINGRUNNING"",""ALERT""],""ESTIMATEOFSNOWDEPTHSEETUTORIAL"":""1020CM"",""ISITACTIVELYRAININGORSNOWINGINTHEPICTURE"":""NO""},""filters"":{}}]}]","{""37162574"":{""retired"":{""id"":51249457,""workflow_id"":12161,""classifications_count"":5,""created_at"":""2019-10-02T20:58:25.755Z"",""updated_at"":""2020-01-20T00:25:24.331Z"",""retired_at"":""2020-01-20T00:25:24.308Z"",""subject_id"":37162574,""retirement_reason"":""classification_count""},""Num"":""111"",""!Batch"":""1"",""!Round"":""2"",""Image1"":""32_39_WHIP_0007.JPG"",""Image2"":""32_39_WHIP_0008.JPG"",""Image3"":""32_39_WHIP_0009.JPG"",""CamModel"":""Browning"",""#CamNumber"":""32"",""#SDCardNum"":""39"",""!ForestType"":""Pine"",""#ForestName"":""WHIP""}}",37162574
"10",37485,195261311,"knottyboy",1949734,"b52adf2289c67dc19a05",12161,"Workflow 1.1",6.5,"2019-12-14 14:08:43 UTC",NA,NA,"{""source"":""api"",""session"":""500fe8b92ea4d1523ea036f9ddcedb957aa10a002bf18ea959c4a637dc9bb7de"",""viewport"":{""width"":768,""height"":983},""started_at"":""2019-12-14T14:08:27.604Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1"",""utc_offset"":""18000"",""finished_at"":""2019-12-14T14:08:43.443Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":671,""clientHeight"":373,""naturalWidth"":2000,""naturalHeight"":1111},{""clientWidth"":671,""clientHeight"":373,""naturalWidth"":2000,""naturalHeight"":1111},{""clientWidth"":671,""clientHeight"":373,""naturalWidth"":2000,""naturalHeight"":1111}],""subject_selection_state"":{""retired"":false,""selected_at"":""2019-12-14T13:04:46.516Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""24539""}","[{""task"":""T0"",""value"":[{""choice"":""NOTHINGHERE"",""answers"":{},""filters"":{}}]}]","{""37823830"":{""retired"":{""id"":52408511,""workflow_id"":12161,""classifications_count"":5,""created_at"":""2019-10-29T14:41:07.716Z"",""updated_at"":""2019-12-14T14:08:43.851Z"",""retired_at"":""2019-12-14T14:08:43.833Z"",""subject_id"":37823830,""retirement_reason"":""classification_count""},"""":""4146"",""Num"":""4146"",""Image1"":""28_08_DEG_1870.JPG"",""Image2"":""28_08_DEG_1871.JPG"",""Image3"":""28_08_DEG_1872.JPG""}}",37823830
